unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS,AutoNHITS,Chronos
hotel_35,2023-03-10,mae,0.16287667410714285,0.12897600446428573,0.14217003437601106,0.180194216852408,0.1022127661848167,0.1756203898361751,0.13503746049744741,0.1879882961511612
hotel_42,2023-03-10,mae,0.32764603817235394,0.25824175824175827,0.23565047685177154,0.2371153156822598,0.222573871879688,0.20760457518043512,0.2097601453138611,0.2215716644018423
hotel_49,2023-03-10,mae,0.03976918278228319,0.0235495945102932,0.08243408875834245,0.022555858192603768,0.053419504072212264,0.03060342412365279,0.04407754966190885,0.026927416864143464
hotel_56,2023-03-10,mae,0.01011904761904762,0.011309523809523806,0.03655434017354697,0.04720979775773203,0.03376015211707248,0.021678116775694346,0.028810886967749826,0.03874342924072628
hotel_63,2023-03-10,mae,0.18444444444444444,0.2146031746031746,0.12816140892217248,0.15600583864865922,0.10857848665314905,0.12586607810050723,0.13155194379980603,0.14800800252528418
hotel_7,2023-03-10,mae,0.23441135411819447,0.16751977664029782,0.16789864948941674,0.14236053967641943,0.28251721443066363,0.14355692765972347,0.15665922788560752,0.12171478116717545
hotel_70,2023-03-10,mae,0.0487155388471178,0.05372807017543859,0.10460240406899016,0.07274919736213335,0.055051044704903476,0.04722422929037185,0.04656903223510374,0.0603686331358171
hotel_84,2023-03-10,mae,0.21972318339100347,0.14607019278299554,0.12155423335398301,0.1272202264375442,0.11501883212702949,0.15766960295544247,0.1318368859224489,0.20949648701490534
hotel_91,2023-03-10,mae,0.17656500802568217,0.2086677367576244,0.1881581232620006,0.17770594181558202,0.17361062979996686,0.12134778621587095,0.17636974007608802,0.15384340546965408
hotel_98,2023-03-10,mae,0.2047811059907834,0.07690092165898618,0.12919094907180598,0.0689330293252719,0.10681746781541919,0.13732775784857262,0.1104135860427184,0.06871232817867934
hotel_0,2023-04-07,mae,0.3262786596119929,0.34567901234567894,0.2740498616830464,0.3048355422689256,0.274983833549307,0.26342462584034687,0.23904938567462633,0.28392243808434336
hotel_105,2023-04-07,mae,0.1684636118598383,0.09299191374663074,0.08183636647499282,0.08488678132349207,0.07199846134398484,0.08899494156790336,0.1291011672028527,0.12107664685418555
hotel_112,2023-04-07,mae,0.1625,0.10669642857142858,0.10673759966007301,0.07398804684625439,0.08164796154413392,0.07624416649341582,0.17758326317582812,0.07787843176296778
hotel_126,2023-04-07,mae,0.02831531018782014,0.030876494023904376,0.03699994694247932,0.03918789986711835,0.023352490741415398,0.026636243180314042,0.038878520799076687,0.04036868549777354
hotel_133,2023-04-07,mae,0.11943793911007027,0.11124121779859486,0.0988210467105025,0.10305207129955066,0.09424253975178096,0.10337431917285474,0.08976623538087626,0.10961893323014994
hotel_14,2023-04-07,mae,0.09838274932614562,0.0707547169811321,0.07964521606960139,0.07421688171114395,0.048186297007751434,0.08623156405362802,0.09622065315269077,0.09047284388959893
hotel_21,2023-04-07,mae,0.03736772486772488,0.03736772486772485,0.03238741889822842,0.030321084549674162,0.04144344476618633,0.03868624544332898,0.037925597063448065,0.03440683141902641
hotel_35,2023-04-07,mae,0.25634765625,0.23221261160714285,0.22578054360823302,0.3716592636251595,0.10860701040924033,0.1745498308113643,0.2083020412496158,0.23025788366794586
hotel_42,2023-04-07,mae,0.3042220936957779,0.2611336032388664,0.27645182461581785,0.24021775591927327,0.20127988216943843,0.30916137702465746,0.37837421229597185,0.1812026975056972
hotel_49,2023-04-07,mae,0.10199625701809112,0.0988771054273238,0.07283855695333137,0.10755109000064535,0.14995055778079552,0.0929551508768008,0.09163855396429599,0.10068364395845406
hotel_56,2023-04-07,mae,0.04077380952380955,0.037202380952380966,0.04523414939815844,0.05483930481921806,0.0383384650461222,0.038086059263774334,0.044189907681374326,0.04543717219716027
hotel_63,2023-04-07,mae,0.20444444444444446,0.1473015873015873,0.11096439795218897,0.16869033488209226,0.11953685507696311,0.13893733473997266,0.15095338496423905,0.21726552355857123
hotel_7,2023-04-07,mae,0.17089343880874824,0.16635644485807352,0.1590274546300605,0.15981671551980117,0.1423051962503536,0.1608142530941697,0.15714719417956108,0.16032194085471183
hotel_70,2023-04-07,mae,0.07017543859649122,0.11027568922305764,0.08491888724319667,0.06583581785891608,0.06268015443574504,0.07087972554796022,0.07351493523607876,0.10638584990175745
hotel_84,2023-04-07,mae,0.17090954028670294,0.17609985170538806,0.16572494273544874,0.14023686203125188,0.11376491641320798,0.16183099032803686,0.14665945589512927,0.17174029141089966
hotel_91,2023-04-07,mae,0.2772873194221509,0.20104333868378815,0.25705641630184306,0.20299403368187557,0.16658528772603337,0.2474366570935012,0.19857177158659192,0.22665791053259163
hotel_98,2023-04-07,mae,0.2566244239631336,0.12759216589861752,0.1764640743559621,0.10237847028928972,0.12314757037006303,0.17814909196394382,0.21604462541330796,0.12662582195574237
hotel_0,2023-05-05,mae,0.23633156966490296,0.16843033509700175,0.148305148190103,0.1661165925758447,0.15503684166147433,0.1787178299834909,0.17236747675471834,0.22662224653431556
hotel_105,2023-05-05,mae,0.07951482479784365,0.16801437556154536,0.13554831282413424,0.11535209345608939,0.14609295793799107,0.1000180506454538,0.16045143032866563,0.07276333994353448
hotel_112,2023-05-05,mae,0.19977678571428567,0.1171875,0.1303356633607417,0.10802444001049068,0.09896162596187662,0.15852568958486832,0.16220182819025858,0.09713428914546966
hotel_126,2023-05-05,mae,0.0226237905520774,0.025754126351735913,0.039990604848033094,0.025775244409627817,0.05287486799483254,0.05043623144815236,0.05361477291136218,0.03573492450102121
hotel_133,2023-05-05,mae,0.10421545667447309,0.09367681498829039,0.061340103210079114,0.048608782989603486,0.049253117961181724,0.062017261179325454,0.24073681996075272,0.06090057939639975
hotel_14,2023-05-05,mae,0.2695417789757413,0.19609164420485176,0.1691501660830987,0.15737302065271358,0.15676705479512892,0.22137794320313436,0.22725146101170152,0.1871630232128493
hotel_21,2023-05-05,mae,0.06431878306878305,0.05539021164021163,0.06257820098836245,0.05936827457185333,0.046028364556140025,0.055299559755930816,0.04499808860518944,0.05976949876578397
hotel_35,2023-05-05,mae,0.08775111607142858,0.15485491071428573,0.08818264653940575,0.07905937386749784,0.13210240434565512,0.09853913102831159,0.14033985563686915,0.07085684367588588
hotel_42,2023-05-05,mae,0.31231925968768076,0.24551764025448236,0.2681311029380744,0.2160798716104968,0.24472379258977253,0.22067767978490194,0.1950647666524641,0.27701155581937625
hotel_49,2023-05-05,mae,0.12102308172177174,0.09513412351840302,0.08960678444220536,0.09289128941283373,0.19386555834819402,0.12968285590949388,0.09197539396012343,0.09069816607352131
hotel_56,2023-05-05,mae,0.1160714285714286,0.10654761904761907,0.1043740938677037,0.09449358654684747,0.09595606530765424,0.09464576840400696,0.08258640524886904,0.10802144535950252
hotel_63,2023-05-05,mae,0.16206349206349205,0.14269841269841269,0.13173200993239176,0.14479699548738764,0.13898989214822027,0.1501214917879256,0.2996827545052483,0.16195980207314567
hotel_7,2023-05-05,mae,0.14634713820381573,0.09678920428106096,0.08677493440224324,0.1268668590694586,0.1435848952423854,0.10208735761322382,0.32152047617427687,0.13713359568925057
hotel_70,2023-05-05,mae,0.068765664160401,0.11701127819548872,0.09651389559628736,0.13891247890596176,0.10290595754974131,0.10009421981441646,0.08706899502671751,0.06324281649930137
hotel_84,2023-05-05,mae,0.08452792881858627,0.14236282748393478,0.123541254638339,0.10068406339321474,0.11855304707430767,0.14334447503281417,0.07861264584769252,0.11869808682344128
hotel_91,2023-05-05,mae,0.06380417335473516,0.26765650080256825,0.06598419249166446,0.17642172137175913,0.20671699741075225,0.08160367768323631,0.22063218738829918,0.13002702598587085
hotel_98,2023-05-05,mae,0.15697004608294932,0.22494239631336405,0.10557008930233389,0.11816645197943068,0.15247027234531046,0.13574305568147912,0.24237340426046727,0.10275569503208459
hotel_0,2023-01-13,rmse,0.15129304559954926,0.3035828755499417,0.21506464600211897,0.2863851345263689,0.23083053693481223,0.17546474881170634,0.271868631698663,0.19077910833725978
hotel_105,2023-01-13,rmse,0.42073779473542944,0.1413196291226635,0.17050940443047333,0.14963901298984736,0.1382308575591079,0.21948683704891533,0.2738369429680925,0.29687265309285477
hotel_112,2023-01-13,rmse,0.3225720607476723,0.19903155595999633,0.1952563230353292,0.17915183963453898,0.20341435331335547,0.16017804849675707,0.15550247224693886,0.17877073760580686
hotel_126,2023-01-13,rmse,0.17142721090055046,0.15257307122804525,0.13966687369462324,0.14160899177519123,0.17196692587815535,0.17009195023950385,0.17963228164251788,0.17109861789077496
hotel_133,2023-01-13,rmse,0.27022554491779305,0.20244408254472898,0.28451019475282424,0.1786828287601944,0.13987123188867126,0.19701495587289114,0.14694294741467948,0.15548027157865443
hotel_14,2023-01-13,rmse,0.10753416481638035,0.14632419997994575,0.07870982010659741,0.10516322246578796,0.12738672754423416,0.11761658788508864,0.1306464240338436,0.13221320388250177
hotel_21,2023-01-13,rmse,0.14090794335622753,0.0675105503400131,0.12845513508847803,0.08421682135961873,0.06503046540970299,0.05200518728229507,0.046329705174443306,0.04680839872685794
hotel_35,2023-01-13,rmse,0.09523791358567125,0.10141349173803807,0.10083086600059356,0.09176009752707355,0.08619053712500084,0.1222742174767241,0.09335816972245894,0.12546721789960974
hotel_42,2023-01-13,rmse,0.35036787715170603,0.40209802241596176,0.2770148386189508,0.25198730294392213,0.2957568673987559,0.27454637071245214,0.29730152676084204,0.44539308363927216
hotel_49,2023-01-13,rmse,0.08105114058196763,0.07898292968442372,0.06427723474973418,0.07029178786776713,0.06508962279807307,0.10296622321260385,0.07368208790779904,0.06826371088462117
hotel_56,2023-01-13,rmse,0.06519963238770646,0.05726054349436304,0.06936452556967367,0.06343606135984052,0.06744714688511287,0.06885359675428078,0.056926418557691635,0.054528175165460976
hotel_63,2023-01-13,rmse,0.3109012897897745,0.347115094585195,0.2199029372724567,0.23193552487785274,0.19775915105055594,0.3129856421059915,0.21918647503743224,0.2663524889409659
hotel_7,2023-01-13,rmse,0.13174289435662903,0.06060076532618587,0.035726549003491134,0.041942599441856465,0.06523826439386331,0.11446040217142302,0.09681283272232549,0.09571245771848712
hotel_70,2023-01-13,rmse,0.07617937134644676,0.0772540129553006,0.09739464839375679,0.07020746663014553,0.14841036630009802,0.08289012011797996,0.06928895340672413,0.07821927975736578
hotel_84,2023-01-13,rmse,0.36764313335696197,0.29623918625691287,0.27963152926888846,0.3014144576486034,0.2813007030346003,0.28404262659346485,0.28334918443839685,0.2850069867120443
hotel_91,2023-01-13,rmse,0.2607803375932792,0.16133617502631306,0.2150950769873564,0.19102834279429176,0.1748188279828611,0.1574325575670289,0.20098714112354887,0.1986419480315267
hotel_98,2023-01-13,rmse,0.1450332256392278,0.13170475470224619,0.07896802672746463,0.10759854592342323,0.056158058386625846,0.13728656457400665,0.14682928498120065,0.10450475252879173
hotel_0,2023-02-10,rmse,0.22538412883456505,0.21013574615317782,0.2363351138025701,0.134737188368196,0.1378791911923786,0.2797281148574581,0.2552860802907614,0.1452175398971819
hotel_105,2023-02-10,rmse,0.23824479528728346,0.1374479548965886,0.11427616115097948,0.1202041477759551,0.12280632920071366,0.12009844184324919,0.19307757420114896,0.14779863302070959
hotel_112,2023-02-10,rmse,0.15041330707895686,0.13690516627787072,0.1315368742954474,0.10699729046133591,0.12564067597351183,0.12832953058657057,0.12325102166946197,0.11314726722088705
hotel_126,2023-02-10,rmse,0.1270892248064744,0.16687949036753585,0.12891097547677136,0.1205520434973907,0.12880397328158638,0.1583958554949627,0.1343938558899422,0.13054938603012578
hotel_133,2023-02-10,rmse,0.20397911360809504,0.2063184001018843,0.19504122356882503,0.18053142718699974,0.17667577296140077,0.2518132895404105,0.23541336058317222,0.18278168009531012
hotel_14,2023-02-10,rmse,0.1458890988086419,0.14714734779145944,0.11814367111101629,0.13433728509413434,0.1179032711111513,0.19474439497818266,0.15209150739532099,0.15147482620368266
hotel_21,2023-02-10,rmse,0.02247704426979685,0.020888375261049932,0.022705447575645868,0.05441014496536584,0.0614066743598274,0.053197725026495016,0.07427810982291068,0.029165093600284048
